OSM ID	Internal ID	PubChem CID	MMV ID	InChI	IChI Key	Series	Assays	PfaI EC50 (Inh)	Pfal IC50 (GSK)	Pfal IC50 (Syngene)	Pfal IC50 (Dundee)	Pfal IC50 (Avery)	Pfal (K1) IC50 (Avery)	Pfal IC50 (Ralph)	Pfal IC50 (Guy)	Pfal (K1) IC50 (Guy)	Pfal IC50 (Batra)	Pfal (K1) IC50 (Batra)	Pfal (3D7) IC50 (Broad)	Pfal (Dd2) IC50 (Broad)	PfaI EC50 uMol (Mean) Qualifier	PfaI EC50 uMol (Mean)	Single Shot Inhibition %	PRR (Rate of Killing)	PfATP4 'Test Set'	Ion Regulation (ANU)	DHODH	Late Stage Gametocyte (Avery)	Pb Liver Stage	HepG2	Cytotox HEK293 (120)	Cytotox HEK293 (40)	Cytotox Vero MTT	Cytotox THP1	hERG pIC50	t1/2 HLM (Monash)	t1/2 HLM (Inh)	t1/2 MLM (Monash)	t1/2 RLM (Inh)	t1/2 HCH (Monash)	t1/2 RCH (Monash)	t1/2 plasma Human	t1/2 plasma Mouse	CLint HLM (Monash)	%remain plasma Human	%remain plasma Mouse	CLint HLM (Inh)	CLint MLM (Monash)	CLint RLM (Inh)	CLint HCH (Monash)	CLint RCH (Monash)	EH H M'some (Monash)	EH M M'some (Monash)	EH H H'cyte (Monash)	EH R H'cyte (Monash)	LogD 3_0 (Monash)	LogD 7_4 (Monash)	Sol 2_0 ug/mL (Monash)	Sol 6_5 ug/mL (Monash)	Sol 6_8 uM (Inh)	Sol 7_4 uM (Inh)	cPPB % (Monash)	CL Rat (Inh)	Vss Rat (Inh)	T1/2 Rat (Inh)	Tmax Rat (Inh)	Oral F Rat (Inh)	Dofetilide (Inh)	Cerep (Inh)	Vivo NOD/SCID ED90	Vivo Berghei %activity	Vivo Parasit Cl	Aldehyde Oxidase  CLint,app (µL/min/mg)	hAcceptor	hDonor	oclLogP	oclLogS	oclPSA	oclRotatable	oclStereoCenter	mw	mf	em
OSM-A-1		1233035		InChI=1S/C22H20N4O3S2/c1-14-12-16(15(2)26(14)18-8-10-19(11-9-18)31(23,28)29)13-20-21(27)25-22(30-20)24-17-6-4-3-5-7-17/h3-13H,1-2H3,(H2,23,28,29)(H,24,25,27)/b20-13-	ODRSSOQWOHNABY-MOSHPQCFSA-N	1									3.05	4.379						3.7145																																																				7	2	2.674600023776293	-7.315000135451555	140.22999811172485	4	0	452.5578	C22H20N4O3S2	452.097681
OSM-A-10				InChI=1S/C14H15NO2/c1-10-7-12(9-16)11(2)15(10)13-5-4-6-14(8-13)17-3/h4-9H,1-3H3	XTPVHYRCFNPCRL-UHFFFAOYSA-N	1																#DIV/0!																																																				3	0	2.5035999976098537	-5.007000122219324	31.22999906539917	3	0	229.2781	C14H15NO2	229.11027900000002
OSM-A-11				InChI=1S/C12H12IN/c1-9-3-4-10(2)14(9)12-7-5-11(13)6-8-12/h3-8H,1-2H3	CLGKGHWNVMDYQB-UHFFFAOYSA-N	1																#DIV/0!																																																				1	0	3.077400028705597	-5.681000113487244	4.929999828338623	1	0	297.13428	C12H12NI	297.001447
OSM-A-12				InChI=1S/C13H12INO/c1-9-7-11(8-16)10(2)15(9)13-5-3-12(14)4-6-13/h3-8H,1-2H3	SSNYMKCLPCTDEB-UHFFFAOYSA-N	1																#DIV/0!																																																				2	0	3.010700009763241	-6.005000162869692	21.999999523162842	2	0	325.14428	C13H12NOI	324.996362
OSM-A-2				InChI=1S/C23H18N4OS/c1-15-12-18(16(2)27(15)20-10-8-17(14-24)9-11-20)13-21-22(28)26-23(29-21)25-19-6-4-3-5-7-19/h3-13H,1-2H3,(H,25,26,28)/b21-13-	LXPLFPVISCVJSC-BKUYFWCQSA-N	1									0.574	1.829						1.2015																																																				5	1	3.746200028806925	-8.189000148326159	95.47999906539917	3	0	398.48892	C23H18N4OS	398.12013099999996
OSM-A-3				InChI=1S/C23H21N3O2S/c1-15-12-17(16(2)26(15)19-10-7-11-20(14-19)28-3)13-21-22(27)25-23(29-21)24-18-8-5-4-6-9-18/h4-14H,1-3H3,(H,24,25,27)/b21-13-	QRGVMORNNJFJKZ-BKUYFWCQSA-N	1									0.098	0.14						0.119																																																				5	1	3.840599998831749	-7.4340001083910465	80.91999769210815	4	0	403.50473999999997	C23H21N3O2S	403.135447
OSM-A-4				InChI=1S/C22H18IN3OS/c1-14-12-16(15(2)26(14)19-10-8-17(23)9-11-19)13-20-21(27)25-22(28-20)24-18-6-4-3-5-7-18/h3-13H,1-2H3,(H,24,25,27)/b20-13-	LZWDTKNFRNEIKZ-MOSHPQCFSA-N	1									1.745	3.162						2.4535																																																				4	1	4.347700010985136	-8.432000149041414	71.68999814987183	3	0	499.37092000000007	C22H18N3OIS	499.02153
OSM-A-5				InChI=1S/C12H14N2O2S/c1-9-3-4-10(2)14(9)11-5-7-12(8-6-11)17(13,15)16/h3-8H,1-2H3,(H2,13,15,16)	STHWURXTZRCILS-UHFFFAOYSA-N	1																#DIV/0!																																																				4	1	1.4043000414967537	-4.564000099897385	73.46999979019165	2	0	250.32116000000002	C12H14N2O2S	250.07759800000002
OSM-A-6				InChI=1S/C13H14N2O2S/c1-9-7-11(8-16)10(2)15(9)12-3-5-13(6-4-12)18(14)17/h3-8H,14H2,1-2H3	JYZXFZAZSQBBQH-UHFFFAOYSA-N	1																#DIV/0!																																																				4	1	1.525100015103817	-6.117000136524439	84.29999876022339	3	1	262.33216000000004	C13H14N2O2S	262.077598
OSM-A-7				InChI=1S/C13H12N2/c1-10-3-4-11(2)15(10)13-7-5-12(9-14)6-8-13/h3-8H,1-2H3	FNDFKQYZEDOHRC-UHFFFAOYSA-N	1																#DIV/0!																																																				2	0	2.4759000465273857	-5.438000112771988	28.720000743865967	1	0	196.25228	C13H12N2	196.100048
OSM-A-8				InChI=1S/C14H12N2O/c1-10-7-13(9-17)11(2)16(10)14-5-3-12(8-15)4-6-14/h3-7,9H,1-2H3	AZYQCNIOZJETFM-UHFFFAOYSA-N	1																#DIV/0!																																																				3	0	2.4092000275850296	-5.762000162154436	45.790000438690186	2	0	224.26228	C14H12N2O	224.09496299999998
OSM-A-9				InChI=1S/C13H15NO/c1-10-7-8-11(2)14(10)12-5-4-6-13(9-12)15-3/h4-9H,1-3H3	GVGRVGMGPYDHOB-UHFFFAOYSA-N	1																#DIV/0!																																																				2	0	2.57030001655221	-4.683000072836876	14.159999370574951	2	0	201.2681	C13H15NO	201.115364
